# ZEC/USD daily close, 2016-10-29 .. 2020-12-07 (the span before Coinbase's ZEC-USD
# candle floor of 2020-12-08). Format: YYYY-MM-DD,usd  one per line, '#' comments skipped.
#
# Frozen historical data: these closes don't change, so bundling them keeps the deep tail
# of the ALL span working with zero network calls and no provider redistribution concerns.
# Points from this file are marked low Confidence (single-source) per docs/adr/0008. Being
# frozen historical data, it never needs refreshing.
#
# Source: Bitfinex tZECUSD daily candles (close), keyless public API, which lists ZEC/USD
# back to ZEC's launch day. The launch-week values (2016-10-29..2016-11) are ZEC's real
# near-zero-supply launch spike, not errors. Spot-checked against Yahoo Finance ZEC-USD
# (which only reaches 2017-11); the two agree within ~1-2% outside the Dec-2017/Jan-2018
# volatility peak, where exchanges genuinely diverged.
2017-05-20,106.62
2017-05-21,117.68
2017-05-22,199.74
2017-05-23,237.86
2017-05-24,228.90
2017-05-25,219.54
2017-05-26,189.98
2017-05-27,176.89
2017-05-28,185.30
2017-05-29,196.50
2017-05-30,225.92
2017-05-31,220.72
2017-06-01,238.91
2017-06-02,232.37
2017-06-03,219.90
2017-06-04,234.02
2017-06-05,241.14
2017-06-06,255.00
2017-06-07,260.00
2017-06-08,269.84
2017-06-09,279.90
2017-06-10,319.00
2017-06-11,327.44
2017-06-12,299.00
2017-06-13,362.28
2017-06-14,372.00
2017-06-15,380.00
2017-06-16,375.05
2017-06-17,392.53
2017-06-18,372.06
2017-06-19,400.20
2017-06-20,409.09
2017-06-21,384.35
2017-06-22,379.19
2017-06-23,375.82
2017-06-24,345.57
2017-06-25,315.91
2017-06-26,295.09
2017-06-27,321.06
2017-06-28,335.38
2017-06-29,311.89
2017-06-30,292.31
2017-07-01,273.40
2017-07-02,290.49
2017-07-03,287.38
2017-07-04,278.89
2017-07-05,280.85
2017-07-06,284.81
2017-07-07,248.43
2017-07-08,253.00
2017-07-09,240.88
2017-07-10,192.58
2017-07-11,178.00
2017-07-12,212.95
2017-07-13,192.66
2017-07-14,177.32
2017-07-15,161.59
2017-07-16,167.01
2017-07-17,180.04
2017-07-18,200.26
2017-07-19,181.00
2017-07-20,210.96
2017-07-21,201.85
2017-07-22,218.32
2017-07-23,212.00
2017-07-24,212.18
2017-07-25,186.20
2017-07-26,189.84
2017-07-27,185.85
2017-07-28,177.86
2017-07-29,186.63
2017-07-30,174.42
2017-07-31,172.69
2017-08-01,191.00
2017-08-02,188.07
2017-08-03,189.02
2017-08-04,186.90
2017-08-05,203.65
2017-08-06,207.41
2017-08-07,208.63
2017-08-08,245.41
2017-08-09,241.39
2017-08-10,231.00
2017-08-11,235.50
2017-08-12,222.93
2017-08-13,214.19
2017-08-14,210.95
2017-08-15,212.57
2017-08-16,217.06
2017-08-17,208.01
2017-08-18,199.76
2017-08-19,232.09
2017-08-20,240.08
2017-08-21,238.99
2017-08-22,226.36
2017-08-23,227.00
2017-08-24,228.35
2017-08-25,238.40
2017-08-26,300.98
2017-08-27,273.34
2017-08-28,275.78
2017-08-29,269.66
2017-08-30,274.63
2017-08-31,285.80
2017-09-01,307.00
2017-09-02,252.17
2017-09-03,263.00
2017-09-04,219.81
2017-09-05,228.48
2017-09-06,247.80
2017-09-07,247.56
2017-09-08,221.10
2017-09-09,219.70
2017-09-10,216.52
2017-09-11,213.81
2017-09-12,208.94
2017-09-13,198.19
2017-09-14,161.37
2017-09-15,187.00
2017-09-16,179.86
2017-09-17,177.00
2017-09-18,195.19
2017-09-19,188.50
2017-09-20,187.86
2017-09-21,175.48
2017-09-22,195.46
2017-09-23,204.98
2017-09-24,205.44
2017-09-25,231.64
2017-09-26,231.60
2017-09-27,287.38
2017-09-28,310.47
2017-09-29,289.95
2017-09-30,277.74
2017-10-01,265.79
2017-10-02,256.98
2017-10-03,252.23
2017-10-04,236.91
2017-10-05,256.52
2017-10-06,257.75
2017-10-07,253.57
2017-10-08,242.15
2017-10-09,229.99
2017-10-10,234.71
2017-10-11,236.05
2017-10-12,227.18
2017-10-13,239.60
2017-10-14,241.42
2017-10-15,232.11
2017-10-16,233.84
2017-10-17,231.16
2017-10-18,227.26
2017-10-19,230.50
2017-10-20,221.83
2017-10-21,211.08
2017-10-22,213.18
2017-10-23,204.72
2017-10-24,214.99
2017-10-25,215.76
2017-10-26,233.30
2017-10-27,243.55
2017-10-28,230.36
2017-10-29,233.27
2017-10-30,239.29
2017-10-31,233.00
2017-11-01,222.01
2017-11-02,217.14
2017-11-03,232.19
2017-11-04,230.24
2017-11-05,224.61
2017-11-06,227.00
2017-11-07,238.02
2017-11-08,251.11
2017-11-09,261.37
2017-11-10,235.91
2017-11-11,252.20
2017-11-12,282.08
2017-11-13,264.33
2017-11-14,269.30
2017-11-15,288.00
2017-11-16,294.33
2017-11-17,291.06
2017-11-18,298.55
2017-11-19,300.26
2017-11-20,303.92
2017-11-21,289.56
2017-11-22,319.26
2017-11-23,307.16
2017-11-24,351.90
2017-11-25,343.79
2017-11-26,337.31
2017-11-27,344.42
2017-11-28,362.50
2017-11-29,303.73
2017-11-30,301.37
2017-12-01,333.58
2017-12-02,325.51
2017-12-03,319.18
2017-12-04,327.82
2017-12-05,321.56
2017-12-06,315.24
2017-12-07,291.84
2017-12-08,317.18
2017-12-09,308.56
2017-12-10,285.45
2017-12-11,317.14
2017-12-12,366.05
2017-12-13,413.51
2017-12-14,506.96
2017-12-15,464.66
2017-12-16,464.66
2017-12-17,527.01
2017-12-18,585.00
2017-12-19,591.02
2017-12-20,663.92
2017-12-21,650.00
2017-12-22,478.49
2017-12-23,521.47
2017-12-24,518.03
2017-12-25,515.23
2017-12-26,545.87
2017-12-27,515.90
2017-12-28,474.99
2017-12-29,517.79
2017-12-30,442.68
2017-12-31,477.68
2018-01-01,513.51
2018-01-02,547.88
2018-01-03,559.70
2018-01-04,545.11
2018-01-05,541.98
2018-01-06,654.77
2018-01-07,755.00
2018-01-08,686.81
2018-01-09,663.91
2018-01-10,711.00
2018-01-11,642.77
2018-01-12,695.11
2018-01-13,695.57
2018-01-14,661.71
2018-01-15,620.01
2018-01-16,501.48
2018-01-17,491.99
2018-01-18,478.21
2018-01-19,522.64
2018-01-20,558.00
2018-01-21,486.58
2018-01-22,441.68
2018-01-23,439.66
2018-01-24,456.58
2018-01-25,472.50
2018-01-26,456.00
2018-01-27,453.12
2018-01-28,475.43
2018-01-29,447.98
2018-01-30,383.77
2018-01-31,400.00
2018-02-01,402.48
2018-02-02,386.09
2018-02-03,388.21
2018-02-04,340.00
2018-02-05,303.30
2018-02-06,366.85
2018-02-07,352.36
2018-02-08,437.20
2018-02-09,472.43
2018-02-10,480.46
2018-02-11,432.50
2018-02-12,459.79
2018-02-13,442.19
2018-02-14,480.62
2018-02-15,480.45
2018-02-16,474.43
2018-02-17,488.95
2018-02-18,445.58
2018-02-19,471.12
2018-02-20,431.36
2018-02-21,424.23
2018-02-22,392.50
2018-02-23,412.99
2018-02-24,389.07
2018-02-25,388.96
2018-02-26,401.52
2018-02-27,406.21
2018-02-28,380.18
2018-03-01,398.46
2018-03-02,385.15
2018-03-03,384.85
2018-03-04,408.91
2018-03-05,390.34
2018-03-06,383.99
2018-03-07,345.10
2018-03-08,313.88
2018-03-09,308.57
2018-03-10,283.94
2018-03-11,306.82
2018-03-12,287.42
2018-03-13,282.50
2018-03-14,247.66
2018-03-15,242.08
2018-03-16,234.44
2018-03-17,217.80
2018-03-18,243.07
2018-03-19,254.37
2018-03-20,258.85
2018-03-21,259.19
2018-03-22,248.90
2018-03-23,258.36
2018-03-24,240.41
2018-03-25,237.71
2018-03-26,224.73
2018-03-27,215.11
2018-03-28,210.00
2018-03-29,186.00
2018-03-30,189.25
2018-03-31,184.42
2018-04-01,181.76
2018-04-02,192.24
2018-04-03,204.91
2018-04-04,181.99
2018-04-05,182.43
2018-04-06,174.22
2018-04-07,180.79
2018-04-08,183.64
2018-04-09,177.33
2018-04-10,179.76
2018-04-11,184.53
2018-04-12,216.88
2018-04-13,228.72
2018-04-14,222.28
2018-04-15,232.75
2018-04-16,224.88
2018-04-17,221.21
2018-04-18,247.36
2018-04-19,264.01
2018-04-20,282.83
2018-04-21,270.12
2018-04-22,270.94
2018-04-23,299.90
2018-04-24,316.19
2018-04-25,284.17
2018-04-26,302.29
2018-04-27,281.01
2018-04-28,297.24
2018-04-29,293.31
2018-04-30,283.60
2018-05-01,291.61
2018-05-02,294.58
2018-05-03,308.83
2018-05-04,296.00
2018-05-05,307.08
2018-05-06,291.71
2018-05-07,280.98
2018-05-08,274.52
2018-05-09,276.40
2018-05-10,261.83
2018-05-11,237.75
2018-05-12,245.13
2018-05-13,259.06
2018-05-14,310.65
2018-05-15,352.58
2018-05-16,366.10
2018-05-17,313.74
2018-05-18,359.00
2018-05-19,343.43
2018-05-20,350.55
2018-05-21,326.71
2018-05-22,311.10
2018-05-23,284.28
2018-05-24,294.89
2018-05-25,280.99
2018-05-26,270.31
2018-05-27,261.53
2018-05-28,227.64
2018-05-29,245.81
2018-05-30,240.69
2018-05-31,239.40
2018-06-01,239.57
2018-06-02,249.79
2018-06-03,252.87
2018-06-04,235.44
2018-06-05,238.32
2018-06-06,235.38
2018-06-07,237.30
2018-06-08,235.80
2018-06-09,229.59
2018-06-10,198.86
2018-06-11,204.75
2018-06-12,192.86
2018-06-13,182.46
2018-06-14,197.78
2018-06-15,192.78
2018-06-16,190.02
2018-06-17,185.67
2018-06-18,196.98
2018-06-19,198.40
2018-06-20,194.26
2018-06-21,190.17
2018-06-22,167.71
2018-06-23,169.68
2018-06-24,165.93
2018-06-25,175.99
2018-06-26,160.72
2018-06-27,168.01
2018-06-28,153.84
2018-06-29,162.71
2018-06-30,170.65
2018-07-01,170.11
2018-07-02,183.98
2018-07-03,178.71
2018-07-04,181.60
2018-07-05,174.58
2018-07-06,174.96
2018-07-07,175.00
2018-07-08,173.16
2018-07-09,166.95
2018-07-10,159.05
2018-07-11,157.89
2018-07-12,154.41
2018-07-13,175.90
2018-07-14,173.20
2018-07-15,173.95
2018-07-16,188.69
2018-07-17,210.10
2018-07-18,209.12
2018-07-19,200.69
2018-07-20,183.08
2018-07-21,188.06
2018-07-22,189.78
2018-07-23,190.07
2018-07-24,224.20
2018-07-25,222.69
2018-07-26,221.82
2018-07-27,221.20
2018-07-28,223.22
2018-07-29,217.60
2018-07-30,214.25
2018-07-31,209.60
2018-08-01,197.29
2018-08-02,186.16
2018-08-03,186.66
2018-08-04,173.98
2018-08-05,179.79
2018-08-06,180.78
2018-08-07,175.99
2018-08-08,160.90
2018-08-09,174.55
2018-08-10,160.20
2018-08-11,155.37
2018-08-12,156.80
2018-08-13,142.50
2018-08-14,132.99
2018-08-15,135.00
2018-08-16,140.25
2018-08-17,151.99
2018-08-18,141.88
2018-08-19,141.51
2018-08-20,129.36
2018-08-21,134.52
2018-08-22,127.53
2018-08-23,132.57
2018-08-24,141.10
2018-08-25,138.63
2018-08-26,134.58
2018-08-27,151.53
2018-08-28,154.10
2018-08-29,152.87
2018-08-30,151.67
2018-08-31,149.63
2018-09-01,158.06
2018-09-02,155.95
2018-09-03,156.65
2018-09-04,156.07
2018-09-05,130.92
2018-09-06,131.27
2018-09-07,125.03
2018-09-08,120.25
2018-09-09,119.57
2018-09-10,118.91
2018-09-11,111.47
2018-09-12,111.55
2018-09-13,118.11
2018-09-14,118.57
2018-09-15,120.29
2018-09-16,119.13
2018-09-17,107.75
2018-09-18,111.71
2018-09-19,113.08
2018-09-20,120.02
2018-09-21,126.42
2018-09-22,124.05
2018-09-23,130.52
2018-09-24,137.72
2018-09-25,135.72
2018-09-26,132.77
2018-09-27,143.30
2018-09-28,135.26
2018-09-29,133.45
2018-09-30,129.92
2018-10-01,126.54
2018-10-02,126.09
2018-10-03,122.20
2018-10-04,123.56
2018-10-05,127.80
2018-10-06,124.88
2018-10-07,125.12
2018-10-08,126.84
2018-10-09,125.91
2018-10-10,124.99
2018-10-11,109.17
2018-10-12,110.41
2018-10-13,111.81
2018-10-14,110.00
2018-10-15,114.66
2018-10-16,117.58
2018-10-17,122.00
2018-10-18,120.27
2018-10-19,121.84
2018-10-20,127.12
2018-10-21,126.44
2018-10-22,123.97
2018-10-23,122.04
2018-10-24,126.21
2018-10-25,126.00
2018-10-26,121.93
2018-10-27,119.84
2018-10-28,123.83
2018-10-29,116.94
2018-10-30,115.73
2018-10-31,116.44
2018-11-01,117.22
2018-11-02,119.10
2018-11-03,117.51
2018-11-04,123.00
2018-11-05,123.10
2018-11-06,132.06
2018-11-07,130.18
2018-11-08,137.47
2018-11-09,134.92
2018-11-10,130.44
2018-11-11,130.51
2018-11-12,135.77
2018-11-13,129.08
2018-11-14,113.71
2018-11-15,112.75
2018-11-16,109.79
2018-11-17,112.45
2018-11-18,114.48
2018-11-19,99.95
2018-11-20,87.00
2018-11-21,86.43
2018-11-22,78.17
2018-11-23,78.78
2018-11-24,68.05
2018-11-25,71.44
2018-11-26,67.42
2018-11-27,73.95
2018-11-28,80.48
2018-11-29,88.62
2018-11-30,81.47
2018-12-01,80.90
2018-12-02,79.93
2018-12-03,71.08
2018-12-04,74.85
2018-12-05,66.38
2018-12-06,58.59
2018-12-07,60.41
2018-12-08,57.71
2018-12-09,61.18
2018-12-10,56.95
2018-12-11,54.40
2018-12-12,56.13
2018-12-13,52.11
2018-12-14,49.74
2018-12-15,50.56
2018-12-16,51.88
2018-12-17,57.79
2018-12-18,60.00
2018-12-19,58.06
2018-12-20,67.26
2018-12-21,62.80
2018-12-22,65.14
2018-12-23,66.47
2018-12-24,69.40
2018-12-25,62.83
2018-12-26,62.08
2018-12-27,56.94
2018-12-28,64.41
2018-12-29,61.13
2018-12-30,61.28
2018-12-31,57.43
2019-01-01,61.37
2019-01-02,62.68
2019-01-03,60.01
2019-01-04,60.11
2019-01-05,58.73
2019-01-06,62.99
2019-01-07,61.87
2019-01-08,61.35
2019-01-09,61.30
2019-01-10,55.41
2019-01-11,56.76
2019-01-12,56.37
2019-01-13,53.56
2019-01-14,56.94
2019-01-15,54.22
2019-01-16,53.53
2019-01-17,54.99
2019-01-18,53.69
2019-01-19,54.76
2019-01-20,52.80
2019-01-21,52.46
2019-01-22,53.19
2019-01-23,52.94
2019-01-24,54.38
2019-01-25,53.15
2019-01-26,52.82
2019-01-27,51.63
2019-01-28,49.78
2019-01-29,49.25
2019-01-30,50.48
2019-01-31,49.67
2019-02-01,49.47
2019-02-02,49.88
2019-02-03,48.79
2019-02-04,48.89
2019-02-05,48.95
2019-02-06,47.05
2019-02-07,47.15
2019-02-08,50.71
2019-02-09,50.69
2019-02-10,51.14
2019-02-11,51.90
2019-02-12,54.52
2019-02-13,53.41
2019-02-14,52.17
2019-02-15,51.41
2019-02-16,52.23
2019-02-17,52.92
2019-02-18,55.70
2019-02-19,55.25
2019-02-20,55.76
2019-02-21,54.10
2019-02-22,54.60
2019-02-23,57.71
2019-02-24,52.23
2019-02-25,53.30
2019-02-26,53.05
2019-02-27,53.08
2019-02-28,52.19
2019-03-01,53.17
2019-03-02,52.37
2019-03-03,51.15
2019-03-04,49.19
2019-03-05,51.45
2019-03-06,51.19
2019-03-07,51.10
2019-03-08,50.14
2019-03-09,52.32
2019-03-10,51.22
2019-03-11,50.31
2019-03-12,54.07
2019-03-13,52.07
2019-03-14,52.90
2019-03-15,54.19
2019-03-16,55.36
2019-03-17,54.74
2019-03-18,55.01
2019-03-19,57.80
2019-03-20,59.85
2019-03-21,56.18
2019-03-22,56.06
2019-03-23,57.58
2019-03-24,57.93
2019-03-25,55.78
2019-03-26,54.98
2019-03-27,57.84
2019-03-28,57.26
2019-03-29,58.23
2019-03-30,57.81
2019-03-31,59.67
2019-04-01,63.33
2019-04-02,70.41
2019-04-03,68.75
2019-04-04,67.35
2019-04-05,73.07
2019-04-06,71.80
2019-04-07,75.19
2019-04-08,73.40
2019-04-09,71.20
2019-04-10,71.92
2019-04-11,70.30
2019-04-12,71.97
2019-04-13,69.84
2019-04-14,70.27
2019-04-15,67.70
2019-04-16,69.78
2019-04-17,71.03
2019-04-18,71.10
2019-04-19,70.23
2019-04-20,70.08
2019-04-21,69.10
