# ZEC/USD daily close, 2016-10-29 .. 2020-12-07 (the span before Coinbase's ZEC-USD
# candle floor of 2020-12-08). Format: YYYY-MM-DD,usd  one per line, '#' comments skipped.
#
# Frozen historical data: these closes don't change, so bundling them keeps the deep tail
# of the ALL span working with zero network calls and no provider redistribution concerns.
# Points from this file are marked low Confidence (single-source) per docs/adr/0008. Being
# frozen historical data, it never needs refreshing.
#
# Source: Bitfinex tZECUSD daily candles (close), keyless public API, which lists ZEC/USD
# back to ZEC's launch day. The launch-week values (2016-10-29..2016-11) are ZEC's real
# near-zero-supply launch spike, not errors. Spot-checked against Yahoo Finance ZEC-USD
# (which only reaches 2017-11); the two agree within ~1-2% outside the Dec-2017/Jan-2018
# volatility peak, where exchanges genuinely diverged.
2019-12-05,30.41
2019-12-06,29.38
2019-12-07,29.67
2019-12-08,29.54
2019-12-09,31.16
2019-12-10,30.14
2019-12-11,31.53
2019-12-12,31.99
2019-12-13,33.36
2019-12-14,32.21
2019-12-15,33.06
2019-12-16,29.66
2019-12-17,27.77
2019-12-18,29.38
2019-12-19,28.50
2019-12-20,28.47
2019-12-21,28.48
2019-12-22,29.04
2019-12-23,28.39
2019-12-24,28.11
2019-12-25,27.61
2019-12-26,27.73
2019-12-27,27.77
2019-12-28,28.24
2019-12-29,29.26
2019-12-30,28.48
2019-12-31,27.59
2020-01-01,28.05
2020-01-02,27.16
2020-01-03,28.60
2020-01-04,29.94
2020-01-05,30.74
2020-01-06,32.90
2020-01-07,32.23
2020-01-08,30.85
2020-01-09,30.86
2020-01-10,33.57
2020-01-11,34.81
2020-01-12,35.60
2020-01-13,38.24
2020-01-14,43.76
2020-01-15,54.92
2020-01-16,50.57
2020-01-17,61.22
2020-01-18,51.02
2020-01-19,51.46
2020-01-20,53.69
2020-01-21,53.44
2020-01-22,52.03
2020-01-23,49.22
2020-01-24,48.93
2020-01-25,48.84
2020-01-26,53.59
2020-01-27,55.21
2020-01-28,56.77
2020-01-29,61.93
2020-01-30,66.34
2020-01-31,66.50
2020-02-01,66.33
2020-02-02,66.50
2020-02-03,65.70
2020-02-04,64.34
2020-02-05,70.98
2020-02-06,70.24
2020-02-07,68.46
2020-02-08,69.93
2020-02-09,71.19
2020-02-10,69.97
2020-02-11,72.96
2020-02-12,73.42
2020-02-13,71.82
2020-02-14,72.74
2020-02-15,64.54
2020-02-16,60.15
2020-02-17,64.38
2020-02-18,65.80
2020-02-19,62.15
2020-02-20,60.70
2020-02-21,61.73
2020-02-22,60.95
2020-02-23,63.66
2020-02-24,61.00
2020-02-25,57.14
2020-02-26,51.56
2020-02-27,52.86
2020-02-28,51.14
2020-02-29,49.08
2020-03-01,49.37
2020-03-02,52.51
2020-03-03,51.06
2020-03-04,50.39
2020-03-05,51.91
2020-03-06,53.62
2020-03-07,50.80
2020-03-08,43.21
2020-03-09,42.25
2020-03-10,41.58
2020-03-11,40.40
2020-03-12,26.02
2020-03-13,27.53
2020-03-14,25.09
2020-03-15,25.86
2020-03-16,24.84
2020-03-17,25.23
2020-03-18,29.95
2020-03-19,31.95
2020-03-20,33.11
2020-03-21,33.11
2020-03-22,29.72
2020-03-23,32.12
2020-03-24,32.98
2020-03-25,32.14
2020-03-26,32.45
2020-03-27,31.01
2020-03-28,30.49
2020-03-29,28.57
2020-03-30,30.52
2020-03-31,30.94
2020-04-01,31.40
2020-04-02,32.35
2020-04-03,32.65
2020-04-04,33.16
2020-04-05,32.55
2020-04-06,37.65
2020-04-07,36.49
2020-04-08,37.88
2020-04-09,40.89
2020-04-10,36.68
2020-04-11,36.13
2020-04-12,36.29
2020-04-13,35.87
2020-04-14,35.55
2020-04-15,35.10
2020-04-16,38.82
2020-04-17,40.50
2020-04-18,42.23
2020-04-19,46.45
2020-04-20,41.86
2020-04-21,42.08
2020-04-22,45.52
2020-04-23,44.45
2020-04-24,44.13
2020-04-25,44.75
2020-04-26,44.64
2020-04-27,44.49
2020-04-28,44.64
2020-04-29,47.03
2020-04-30,44.86
2020-05-01,45.86
2020-05-02,46.51
2020-05-03,44.83
2020-05-04,44.03
2020-05-05,44.01
2020-05-06,42.20
2020-05-07,44.48
2020-05-08,46.78
2020-05-09,44.94
2020-05-10,40.85
2020-05-11,39.84
2020-05-12,42.10
2020-05-13,43.12
2020-05-14,43.29
2020-05-15,41.96
2020-05-16,42.51
2020-05-17,46.09
2020-05-18,48.04
2020-05-19,48.85
2020-05-20,48.26
2020-05-21,45.97
2020-05-22,47.70
2020-05-23,46.90
2020-05-24,45.00
2020-05-25,45.96
2020-05-26,44.86
2020-05-27,46.26
2020-05-28,47.82
2020-05-29,46.54
2020-05-30,54.50
2020-05-31,51.76
2020-06-01,54.65
2020-06-02,51.41
2020-06-03,52.91
2020-06-04,52.32
2020-06-05,52.77
2020-06-06,52.72
2020-06-07,52.18
2020-06-08,52.46
2020-06-09,52.07
2020-06-10,55.58
2020-06-11,49.80
2020-06-12,51.46
2020-06-13,52.83
2020-06-14,51.25
2020-06-15,52.33
2020-06-16,52.72
2020-06-17,53.08
2020-06-18,52.13
2020-06-19,51.23
2020-06-20,51.65
2020-06-21,50.42
2020-06-22,53.61
2020-06-23,58.20
2020-06-24,55.22
2020-06-25,56.09
2020-06-26,55.86
2020-06-27,52.25
2020-06-28,51.88
2020-06-29,52.55
2020-06-30,51.53
2020-07-01,51.86
2020-07-02,51.25
2020-07-03,51.28
2020-07-04,51.37
2020-07-05,51.31
2020-07-06,55.58
2020-07-07,55.02
2020-07-08,58.11
2020-07-09,56.92
2020-07-10,56.01
2020-07-11,55.80
2020-07-12,58.40
2020-07-13,61.37
2020-07-14,61.98
2020-07-15,61.30
2020-07-16,59.19
2020-07-17,59.64
2020-07-18,59.20
2020-07-19,58.60
2020-07-20,57.14
2020-07-21,62.51
2020-07-22,64.55
2020-07-23,63.44
2020-07-24,63.04
2020-07-25,65.70
2020-07-26,66.36
2020-07-27,70.66
2020-07-28,70.84
2020-07-29,72.20
2020-07-30,70.68
2020-07-31,74.76
2020-08-01,89.11
2020-08-02,84.45
2020-08-03,82.38
2020-08-04,84.79
2020-08-05,97.50
2020-08-06,96.48
2020-08-07,94.36
2020-08-08,96.48
2020-08-09,92.00
2020-08-10,89.04
2020-08-11,80.98
2020-08-12,81.81
2020-08-13,87.55
2020-08-14,85.21
2020-08-15,85.42
2020-08-16,85.52
2020-08-17,86.98
2020-08-18,83.36
2020-08-19,76.48
2020-08-20,79.02
2020-08-21,73.33
2020-08-22,77.05
2020-08-23,84.31
2020-08-24,80.59
2020-08-25,73.10
2020-08-26,75.22
2020-08-27,72.23
2020-08-28,76.07
2020-08-29,78.91
2020-08-30,81.37
2020-08-31,78.46
2020-09-01,83.40
2020-09-02,75.84
2020-09-03,57.08
2020-09-04,59.93
2020-09-05,56.09
2020-09-06,58.97
2020-09-07,62.04
2020-09-08,58.94
2020-09-09,60.16
2020-09-10,62.07
2020-09-11,63.50
2020-09-12,65.68
2020-09-13,62.48
2020-09-14,62.79
2020-09-15,59.37
2020-09-16,58.43
2020-09-17,59.76
2020-09-18,57.84
2020-09-19,58.06
2020-09-20,57.64
2020-09-21,51.81
2020-09-22,53.30
2020-09-23,51.92
2020-09-24,55.25
2020-09-25,54.94
2020-09-26,56.33
2020-09-27,55.70
2020-09-28,56.13
2020-09-29,61.40
2020-09-30,63.97
2020-10-01,64.69
2020-10-02,63.91
2020-10-03,60.90
2020-10-04,63.34
2020-10-05,65.72
2020-10-06,61.41
2020-10-07,61.58
2020-10-08,61.99
2020-10-09,63.76
2020-10-10,66.71
2020-10-11,72.51
2020-10-12,73.03
2020-10-13,70.18
2020-10-14,68.91
2020-10-15,68.05
2020-10-16,62.56
2020-10-17,63.16
2020-10-18,64.48
2020-10-19,64.22
2020-10-20,57.94
2020-10-21,62.98
2020-10-22,65.72
2020-10-23,63.22
2020-10-24,64.34
2020-10-25,62.77
2020-10-26,60.42
2020-10-27,61.19
2020-10-28,56.83
2020-10-29,56.80
2020-10-30,58.23
2020-10-31,58.20
2020-11-01,58.15
2020-11-02,54.86
2020-11-03,53.18
2020-11-04,54.11
2020-11-05,56.60
2020-11-06,61.51
2020-11-07,57.46
2020-11-08,60.63
2020-11-09,58.40
2020-11-10,59.08
2020-11-11,58.87
2020-11-12,62.79
2020-11-13,65.85
2020-11-14,63.91
2020-11-15,61.16
2020-11-16,64.67
2020-11-17,66.94
2020-11-18,63.27
2020-11-19,62.38
2020-11-20,63.13
2020-11-21,72.42
2020-11-22,68.58
2020-11-23,79.27
2020-11-24,86.82
2020-11-25,78.23
2020-11-26,70.19
2020-11-27,69.79
2020-11-28,75.36
2020-11-29,75.20
2020-11-30,79.02
2020-12-01,74.97
2020-12-02,76.82
2020-12-03,75.87
2020-12-04,69.06
2020-12-05,71.96
2020-12-06,74.67
2020-12-07,75.63
